TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS
1610612737,Atlanta Hawks,12,3,9,0.25,48.0,110.6,34.9,0.711,8.1,6.1,23.7,16.9,17.7,46.2,10,27,24,27,19,23,14,23,10,7,30,28,29,11,10,Atlanta Hawks
1610612738,Boston Celtics,12,7,5,0.583,48.4,102.6,36.4,0.745,6.8,5.3,13.4,12.3,10.8,45.2,10,8,8,9,7,2,5,6,22,19,1,13,3,6,10,Boston Celtics
1610612751,Brooklyn Nets,13,6,7,0.462,48.4,109.8,32.5,0.683,6.6,4.8,19.5,16.6,11.2,44.2,2,14,19,19,18,22,24,28,25,23,26,27,4,5,10,Brooklyn Nets
1610612766,Charlotte Hornets,12,6,6,0.5,48.4,107.4,34.6,0.734,6.6,6.4,15.3,12.5,13.6,49.2,10,14,13,15,7,14,16,11,26,4,5,15,14,18,10,Charlotte Hornets
1610612741,Chicago Bulls,13,4,9,0.308,49.2,111.3,34.0,0.695,6.9,5.6,17.4,13.5,12.4,45.4,2,22,24,24,2,26,17,27,18,15,17,18,9,9,10,Chicago Bulls
1610612739,Cleveland Cavaliers,12,1,11,0.083,48.0,114.3,31.1,0.733,7.4,2.3,19.0,12.5,15.3,52.0,10,30,30,30,19,29,27,12,16,30,23,15,19,27,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,12,4,8,0.333,48.4,111.1,33.5,0.754,6.5,4.8,19.0,11.0,15.5,43.8,10,22,23,23,7,24,19,4,28,24,23,2,22,4,10,Dallas Mavericks
1610612743,Denver Nuggets,12,9,3,0.75,48.4,102.5,35.8,0.763,8.5,5.0,16.6,12.1,12.4,48.2,10,3,3,3,7,1,10,2,8,20,12,12,10,14,10,Denver Nuggets
1610612765,Detroit Pistons,11,6,5,0.545,49.4,105.8,36.4,0.769,6.7,3.9,15.4,11.2,11.3,49.3,27,14,8,13,1,8,6,1,23,27,7,4,5,20,10,Detroit Pistons
1610612744,Golden State Warriors,13,11,2,0.846,48.0,108.1,36.2,0.726,7.7,6.0,17.5,12.4,13.2,48.0,2,2,2,2,19,15,7,16,15,9,18,14,13,13,10,Golden State Warriors
1610612745,Houston Rockets,11,4,7,0.364,48.0,109.1,30.8,0.717,8.7,6.1,15.5,12.0,11.6,50.5,27,22,19,22,19,19,29,21,5,6,9,11,7,23,10,Houston Rockets
1610612754,Indiana Pacers,13,8,5,0.615,48.0,104.7,32.4,0.719,8.6,5.3,15.6,10.8,13.7,40.0,2,6,8,8,19,6,25,18,6,18,10,1,15,1,10,Indiana Pacers
1610612746,LA Clippers,12,7,5,0.583,48.4,107.0,37.3,0.712,5.3,6.1,17.7,16.0,15.3,49.8,10,8,8,9,7,11,4,22,30,7,20,25,18,22,10,LA Clippers
1610612747,Los Angeles Lakers,12,6,6,0.5,48.4,109.1,35.3,0.705,8.8,5.9,18.5,13.7,15.9,55.2,10,14,13,15,7,17,12,24,4,11,21,19,23,29,10,Los Angeles Lakers
1610612763,Memphis Grizzlies,11,7,4,0.636,48.5,104.5,30.0,0.717,10.1,3.9,15.1,11.8,15.5,42.9,27,8,6,6,6,5,30,20,2,27,4,8,21,3,10,Memphis Grizzlies
1610612748,Miami Heat,12,5,7,0.417,48.4,107.2,35.5,0.72,6.8,7.0,20.6,17.0,12.1,45.3,10,20,19,20,7,12,11,17,19,1,28,29,8,8,10,Miami Heat
1610612749,Milwaukee Bucks,12,9,3,0.75,48.4,103.1,41.8,0.753,6.6,6.3,14.0,11.3,10.0,40.3,10,3,3,3,7,3,1,5,26,5,3,5,1,2,10,Milwaukee Bucks
1610612750,Minnesota Timberwolves,13,4,9,0.308,48.0,114.3,31.2,0.67,9.2,5.9,17.1,17.0,16.6,51.2,2,22,24,24,19,30,26,29,3,10,16,29,27,25,10,Minnesota Timberwolves
1610612740,New Orleans Pelicans,12,6,6,0.5,48.0,111.2,35.9,0.742,7.3,5.9,16.7,11.1,15.4,51.8,10,14,13,15,19,25,9,8,17,11,14,3,20,26,10,New Orleans Pelicans
1610612752,New York Knicks,13,4,9,0.308,48.8,109.5,33.0,0.731,7.9,3.9,17.5,14.3,10.3,50.6,2,22,24,24,5,21,22,13,13,26,19,21,2,24,10,New York Knicks
1610612760,Oklahoma City Thunder,12,7,5,0.583,48.0,103.6,33.9,0.717,11.4,5.5,15.4,11.5,13.8,49.0,10,8,8,9,19,4,18,19,1,17,8,6,16,16,10,Oklahoma City Thunder
1610612753,Orlando Magic,12,5,7,0.417,48.0,109.2,33.3,0.731,7.9,5.9,16.6,11.8,12.8,45.2,10,20,19,20,19,20,21,14,14,11,12,9,12,6,10,Orlando Magic
1610612755,Philadelphia 76ers,14,8,6,0.571,49.1,106.3,39.7,0.729,6.8,6.5,19.6,15.1,12.6,49.4,1,6,13,12,3,10,3,15,21,2,27,23,11,21,10,Philadelphia 76ers
1610612756,Phoenix Suns,12,2,10,0.167,48.4,113.0,33.5,0.743,6.8,3.4,23.0,13.8,20.6,55.8,10,29,29,29,7,27,19,7,19,29,29,20,30,30,10,Phoenix Suns
1610612757,Portland Trail Blazers,12,9,3,0.75,48.4,105.0,40.2,0.74,6.0,4.9,13.8,13.2,13.9,49.2,10,3,3,3,7,7,2,9,29,22,2,17,17,18,10,Portland Trail Blazers
1610612758,Sacramento Kings,13,7,6,0.538,48.0,108.4,35.2,0.698,8.2,4.9,16.8,15.8,16.8,53.8,2,8,13,14,19,16,13,25,9,21,15,24,28,28,10,Sacramento Kings
1610612759,San Antonio Spurs,11,7,4,0.636,48.9,107.3,34.8,0.735,6.6,4.2,15.3,11.9,16.1,49.1,27,8,6,6,4,13,15,10,24,25,6,10,24,17,10,San Antonio Spurs
1610612761,Toronto Raptors,13,12,1,0.923,48.0,106.0,36.2,0.698,8.6,5.7,16.4,14.3,16.5,45.5,2,1,1,1,19,9,7,26,6,14,11,21,26,10,10,Toronto Raptors
1610612762,Utah Jazz,12,6,6,0.5,48.0,109.1,33.0,0.759,8.1,5.6,18.8,11.6,11.5,46.8,10,14,13,15,19,18,22,3,10,16,22,7,6,12,10,Utah Jazz
1610612764,Washington Wizards,12,3,9,0.25,48.4,114.1,31.1,0.669,8.1,6.5,19.3,16.3,16.3,48.2,10,27,24,27,7,28,27,30,10,2,25,26,25,14,10,Washington Wizards
